"Group ID","Entity id","Og membership ID","OG user roles in group","OG user roles in group"
"2605","1","56","",""
"2605","5214","25,149","",""
"2606","1","57","",""
"2606","5214","25,154","",""
"2607","3613","21,628","",""
"2607","1","58","",""
"2607","5214","25,159","",""
"2607","306","6,291","",""
"2607","41","9,076","",""
"2608","1","59","",""
"2609","1","60","",""
"2609","5214","25,169","",""
"2610","1","61","",""
"2611","1","63","",""
"2611","486","7,926","",""
"2611","556","9,416","",""
"2615","1","68","",""
"2619","1","73","",""
"2623","1","78","",""
"2627","1","83","",""
"2631","1","88","",""
"2635","1","93","",""
"2639","1","98","",""
"2643","1","103","",""
"2647","1","108","",""
"2651","1","113","",""
"2655","1","118","",""
"2659","1","123","",""
"2663","1","128","",""
"2667","1","133","",""
"2667","306","6,516","",""
"2671","1","138","",""
"2675","1","143","",""
"2679","1","148","",""
"2683","1","153","",""
"2687","1","158","",""
"2691","1","163","",""
"2695","1","168","",""
"2699","1","173","",""
"2703","1","178","",""
"2707","171","8,871","",""
"2707","166","12,336","",""
"2707","156","9,176","",""
"2707","1551","14,016","",""
"2707","1","183","",""
"2707","576","9,221","",""
"2711","1","188","",""
"2715","1","193","",""
"2719","1","198","",""
"2723","1","203","",""
"2727","1","208","",""
"2731","1","213","",""
"2735","1","218","",""
"2739","1","223","",""
"2743","1","228","",""
"2747","1","233","",""
"2751","1","238","",""
"2755","1","243","",""
"2759","1","248","",""
"2759","1021","20,844","",""
"2763","1","253","",""
"2767","1","258","",""
"2771","1","263","",""
"2775","1","268","",""
"2779","41","9,676","",""
"2779","1","273","",""
"2779","721","12,186","",""
"2783","1","278","",""
"2787","1","283","",""
"2791","1","288","",""
"2795","1","293","",""
"2799","1","298","",""
"2803","1","302","",""
"2803","141","6,046","",""
"2803","5214","25,419","",""
"2804","1","304","",""
"2808","1","309","",""
"2812","1","314","",""
"2812","41","9,721","",""
"2812","4604","24,779","",""
"2816","1","319","",""
"2820","1","324","",""
"2820","386","7,336","",""
"2824","1","329","",""
"2828","41","4,505","",""
"2828","42","4,506","",""
"2828","1","333","",""
"2829","41","4,499","",""
"2829","42","4,500","",""
"2829","1","335","",""
"2857","1","413","",""
"2858","1","420","",""
"2859","1","422","",""
"3481","1","1,713","",""
"3491","1","1,724","",""
"3501","1","1,735","",""
"3521","1","1,757","",""
"3546","1","1,785","",""
"3546","5214","25,489","",""
"6232","1","4,508","",""
"6232","42","4,511","",""
"6232","141","5,911","",""
"6232","171","5,851","",""
"6232","166","5,861","",""
"6232","156","5,881","",""
"6232","41","4,509","",""
"6232","146","5,901","",""
"6237","39","4,519","",""
"8436","256","5,991","",""
"8436","41","9,126","",""
"8436","291","20,659","",""
"8436","261","6,071","",""
"8481","1","6,061","",""
"8541","1","54,489","",""
"8541","70","6,126","",""
"8541","266","6,146","",""
"9771","41","9,271","",""
"10801","611","11,526","",""
"11701","3021","19,781","",""
"11701","611","12,761","",""
"11706","611","12,766","",""
"11706","2581","18,786","",""
"11706","2556","18,636","",""
"11831","1146","13,381","",""
"17171","851","15,936","",""
"17676","41","18,921","",""
"17676","3469","20,869","",""
"17676","3479","20,894","",""
"18824","1","54,449","",""
"18824","41","20,664","",""
"18829","41","20,674","",""
"18899","41","20,739","",""
"19568","3658","22,653","",""
"19568","41","21,423","",""
"19663","41","21,523","",""
"19663","11779","53,644","",""
"19688","41","21,553","",""
"19863","41","22,673","",""
"19868","41","22,683","",""
"19873","41","22,693","",""
"19878","41","22,703","",""
"19883","41","22,713","",""
"19893","41","22,728","",""
"19913","41","22,753","",""
"19918","41","22,763","",""
"22024","41","25,829","",""
"22024","1","56,448","",""
"24444","41","30,054","",""
"24449","41","30,064","",""
"24639","41","30,244","",""
"24654","41","30,264","",""
"24704","41","30,344","",""
"24939","41","30,639","",""
"24989","41","30,604","",""
"25014","41","30,634","",""
"28934","41","34,539","",""
"28939","41","34,549","",""
"36674","9354","49,454","",""
"36679","9354","49,459","",""
"36684","9354","49,464","",""
"36689","1","55,438","",""
"36689","9354","49,469","",""
"36694","9354","49,474","",""
"36699","9354","49,479","",""
"36704","9354","49,484","",""
"36898","1","51,783","",""
"36903","1","51,788","",""
"36908","1","51,793","",""
"37603","1","52,608","",""
"38038","9354","53,043","",""
"39313","1","55,503","",""
"39468","1","56,463","",""
"39593","1","56,658","",""
"39598","1","56,673","",""
"39613","1","56,688","",""
"39618","1","56,698","",""
"40018","41","57,118","",""
